Date,Price,Open,High,Low,Vol.,Change %,Date_m
21-Dec-17,1.09,0.7149,1.11,0.714,91.16M,52.47,43090
22-Dec-17,0.988,1.09,1.23,0.69,114.41M,-9.36,43091
23-Dec-17,0.9856,0.988,1.07,0.92,30.79M,-0.24,43092
24-Dec-17,0.9718,0.9856,0.9938,0.8024,31.76M,-1.4,43093
25-Dec-17,0.972,0.9718,1.02,0.9125,12.03M,0.02,43094
26-Dec-17,1.07,0.972,1.1,0.9621,16.36M,10.08,43095
27-Dec-17,1.21,1.07,1.29,1.06,44.83M,13.08,43096
28-Dec-17,1.24,1.21,1.29,1.07,33.08M,2.48,43097
29-Dec-17,1.92,1.24,1.97,1.24,65.04M,54.84,43098
30-Dec-17,1.83,1.92,2.4,1.74,78.98M,-4.69,43099
31-Dec-17,1.97,1.83,2.09,1.5,34.43M,7.65,43100
01-Jan-18,2.03,1.97,2.1,1.8,13700000,3.05,43101
02-Jan-18,2.19,2.03,2.2,1.9,24000000,7.88,43102
03-Jan-18,2.72,2.19,2.86,2.15,32100000,24.2,43103
04-Jan-18,2.73,2.72,3.28,2.45,44400000,0.37,43104
05-Jan-18,2.5,2.73,3.05,2.2,34700000,-8.42,43105
06-Jan-18,2.65,2.5,2.85,2.45,11200000,6,43106
07-Jan-18,2.77,2.65,2.81,2.56,9100000,4.53,43107
08-Jan-18,2.4,2.77067,2.77067,1.91111,20700000,-13.36,43108
09-Jan-18,2.04055,2.4,2.481,1.9,18900000,-14.98,43109
10-Jan-18,1.92,2.05,2.118,1.6132,30400000,-5.91,43110
11-Jan-18,1.93,1.94415,2.267,1.54,45000000,0.52,43111
12-Jan-18,2.013,1.92446,2.15,1.79,15700000,4.3,43112
13-Jan-18,1.99,2.013,2.095,1.94701,7950000,-1.14,43113
14-Jan-18,1.82,1.99,1.99,1.74,8600000,-8.54,43114
15-Jan-18,1.655,1.82,1.8715,1.62,5860000,-9.07,43115
16-Jan-18,1.14263,1.655,1.67763,0.85,69700000,-30.96,43116
17-Jan-18,1.32,1.14263,1.386,0.87,73000000,15.52,43117
18-Jan-18,1.546,1.32,1.72042,1.2,49100000,17.12,43118
19-Jan-18,1.522,1.546,1.67,1.44406,19700000,-1.55,43119
20-Jan-18,1.56,1.522,1.62347,1.461,11900000,2.5,43120
21-Jan-18,1.354,1.56,1.56791,1.3,16800000,-13.21,43121
22-Jan-18,1.34,1.354,1.41102,1.13031,22900000,-1.03,43122
23-Jan-18,1.3335,1.34,1.4342,1.17493,23400000,-0.49,43123
24-Jan-18,1.351,1.3335,1.42022,1.2822,12800000,1.31,43124
25-Jan-18,1.301,1.351,1.375,1.272,7750000,-3.7,43125
26-Jan-18,1.20599,1.301,1.32082,1.1001,16500000,-7.3,43126
27-Jan-18,1.21879,1.20599,1.24473,1.17286,7890000,1.06,43127
28-Jan-18,1.37,1.21879,1.4,1.21416,12800000,12.41,43128
29-Jan-18,1.27127,1.37,1.37905,1.2509,8380000,-7.21,43129
30-Jan-18,1.1121,1.27127,1.27127,1.08807,14600000,-12.52,43130
31-Jan-18,1.1384,1.1121,1.14941,1.02578,9320000,2.36,43131
01-Feb-18,0.966,1.1384,1.15067,0.905,15000000,-15.14,43132
02-Feb-18,0.90388,0.966,0.9688,0.67179,41100000,-6.43,43133
03-Feb-18,0.95916,0.90388,1.02,0.77834,19300000,6.12,43134
04-Feb-18,0.81624,0.95916,0.9671,0.77931,13500000,-14.9,43135
05-Feb-18,0.6841,0.81624,0.83452,0.64,27600000,-16.19,43136
06-Feb-18,0.762,0.6841,0.78049,0.57227,39100000,11.39,43137
07-Feb-18,0.717,0.76764,0.822,0.6971,15400000,-5.91,43138
08-Feb-18,0.7808,0.715,0.78975,0.708,10900000,8.9,43139
09-Feb-18,0.92183,0.7808,0.92968,0.74,16500000,18.06,43140
10-Feb-18,1.02769,0.92183,1.23,0.905,41400000,11.48,43141
11-Feb-18,0.9584,1.02769,1.03902,0.892,22600000,-6.74,43142
12-Feb-18,1.0424,0.9584,1.0764,0.9584,14300000,8.76,43143
13-Feb-18,0.98573,1.0424,1.04815,0.96333,8270000,-5.44,43144
14-Feb-18,1.12706,0.98573,1.154,0.97816,15800000,14.34,43145
15-Feb-18,1.10488,1.12706,1.14252,1.0655,13200000,-1.97,43146
16-Feb-18,1.11225,1.10488,1.11787,1.063,5900000,0.67,43147
17-Feb-18,1.1749,1.11225,1.2,1.10182,8720000,5.63,43148
18-Feb-18,1.0652,1.1749,1.1785,1.0382,9880000,-9.34,43149
19-Feb-18,1.10673,1.0652,1.1328,1.0652,4440000,3.9,43150
20-Feb-18,1.02233,1.10673,1.1328,1.00756,9130000,-7.63,43151
21-Feb-18,0.94775,1.02233,1.042,0.93618,11200000,-7.3,43152
